MLSAreaMajor,closed_sales,median_close_price,average_close_price,median_price_per_sqft,average_days_on_market,average_close_to_original_list_ratio
601 - Alhambra,1270,610000.0,557069.2728188976,367.7563150074294,33.16692913385827,1.7018600894727367
92009 - Carlsbad,1265,1230000.0,1396569.8181818181,625.0388453590673,31.122529644268774,1.985902227902206
629 - Glendora,1263,790000.0,751808.1492478227,493.73764007910347,36.24623911322249,3.4747151062961765
614 - Covina,1262,728500.0,648347.4146751189,472.91487532244196,36.21870047543582,2.9101574743166325
C15 - Pacific Palisades,1250,1392500.0,2066049.8024,8.614329087300915,50.8464,1.0173099644658379
TAR - Tarzana,1227,425000.0,792843.2803585982,413.89728096676737,42.43031784841076,1.766174724525467
NR - Northridge,1216,812500.0,777270.5,446.5344707402196,35.61266447368421,1.8230355476520592
TOE - Thousand Oaks East,1213,799000.0,754277.2629843364,474.04454263352295,38.480626545754326,0.9987216569627299
92026 - Escondido,1198,775000.0,778266.3823038398,454.59415584415586,33.91068447412354,0.9840022486981645
648 - Pasadena (SE),1192,685000.0,950331.4592701342,587.5440658049354,38.138422818791945,1.0054427904844583
92130 - Carmel Valley,1190,1141500.0,1413885.1941176471,779.5766627975734,27.93361344537815,3.47417619064286
69 - Santa Ana South of First,1177,600000.0,636447.1911639762,543.6842105263158,35.32285471537808,1.823605273078627
332 - Central Palm Springs,1175,615000.0,900595.6971659574,435.6092445631124,64.60170212765958,1.7204520116636426
82 - Buena Park,1175,820000.0,670993.0214808511,523.4505862646566,26.73191489361702,1.9703250020461278
VN - Van Nuys,1169,485000.0,526785.1616766467,393.4300993124522,45.878528656971774,1.8420320244269395
GH - Granada Hills,1168,880000.0,731327.5115582192,488.348746825676,31.86472602739726,0.9952764447940504
276 - Highland,1160,526450.0,461977.42788793106,293.7551355792933,41.880172413793105,1.9136692214679452
331 - North End Palm Springs,1149,425000.0,502582.71605744126,330.89983022071306,70.82419495213229,0.9560696743931322
LV - Laguna Village,1149,10000.0,1183861.7481810271,6.428571428571429,68.78590078328982,0.9499633042690026
77 - Anaheim Hills,1149,941000.0,924108.9025152307,544.6876065535589,29.915652173913042,1.0028626130491947
"75 - Orange, Orange Park Acres E of 55",1124,1004100.0,995315.5747330961,587.332787030475,31.03202846975089,0.9924966769160597
16 - Fountain Valley / Northeast HB,1121,1015000.0,914058.2899197146,631.3465783664459,27.14808206958073,2.1156073786161684
323 - South Palm Desert,1113,560000.0,932572.0823899371,368.2170542635659,61.306379155435756,1.7686644903691995
646 - Pasadena (NE),1105,1010000.0,915901.8877828055,677.8206097051162,31.410859728506786,1.8618369063117761
CS - Corona Del Mar - Spyglass,1100,16500.0,2147469.5007545454,7.0624357341272885,51.29272727272727,1.8456861232170756
CLB - Calabasas,1094,543500.0,1118693.9232175504,422.65806885066746,44.020109689213896,1.2257449288075677
1A - Seal Beach,1089,362500.0,616879.214876033,408.3333333333333,38.22681359044996,1.857781387624648
SVC - Central Simi,1081,780000.0,679618.3848288622,458.97088002551754,40.382053654024055,1.9158538849004199
92021 - El Cajon,1065,700000.0,657589.1568075117,452.68199233716473,30.861032863849765,1.8490017635691791
RES - Reseda,1063,630000.0,534680.1147695202,434.75443308548336,33.551269990592665,0.9788379754684556
PORA - Porter Ranch,1062,930000.0,867326.2495291902,464.63641338160664,38.50659133709981,1.0681798628325254
92117 - Clairemont Mesa,1057,1050000.0,1805629.2421948912,736.6885485047411,22.373699148533586,1.925398733052716
92054 - Oceanside,1045,990000.0,1079717.1320574163,667.7265500794913,41.88133971291866,0.9646353220206588
SYL - Sylmar,1044,695000.0,612992.127394636,445.7931954907987,37.52873563218391,0.996609891352161
NW - Northwood,1037,5800.0,619424.7174541948,3.269447576099211,29.649951783992286,0.9975235155301283
70 - Santa Ana North of First,1031,655000.0,655105.611057226,518.018018018018,39.91464597478176,0.9802439296690927
92127 - Rancho Bernardo,1029,1350000.0,2465702.495626822,654.0859272161443,30.044703595724005,3.8382099505327596
91913 - Chula Vista,1027,765000.0,1798349.1100292113,445.5250802427531,27.315481986368063,2.9456154692892924
336 - Cathedral City South,1027,175000.0,293099.8714703019,192.74537695590328,76.51217137293087,1.789417182267205
92109 - Pacific Beach,1026,1250500.0,1444480.206988304,933.2925336597307,38.09844054580897,2.6853575538631604
91977 - Spring Valley,1022,730000.0,678823.6614481409,484.9329608938547,28.459882583170256,0.9997699879976624
87 - La Habra,1019,730000.0,676997.5076251227,518.0941317139171,35.8459273797841,1.0030472627713158
92115 - San Diego,1019,746050.0,769512.2227674191,587.7846542089767,31.977428851815507,0.9772552793328096
C09 - Beverlywood Vicinity,1018,7225.0,784148.4695481336,4.389815627743634,45.218074656188605,0.9727649013027684
VC32 - Oxnard - Port Hueneme Beaches,1011,532000.0,711525.2818991098,433.3333333333333,56.63699307616221,1.796270950006456
MC - Mission Viejo Central,1010,949950.0,871068.3891089109,598.6725369524656,26.15841584158416,1.0170570643097996
92103 - Mission Hills,1009,942500.0,1139450.6957383547,723.9737274220033,35.89494549058474,1.9492046208051446
NBPK - Newbury Park,1008,806000.0,726547.1329365079,456.74368619022033,41.29761904761905,1.9856884822576029
92126 - Mira Mesa,1005,900000.0,909464.5930845771,655.9766763848396,25.913432835820895,3.9935749806116982
628 - Glendale-South of 134 Fwy,1000,4775.0,567613.539,3.851926926926927,39.686,1.0725641432127249
604 - Altadena,995,750000.0,898322.8203115579,712.0280948200176,36.99899497487437,0.9946882944785611
659 - Sunland/Tujunga,989,700000.0,584673.540950455,508.4391572192359,37.93933265925177,1.9992506937419006
C33 - Malibu,988,34500.0,1568184.943319838,7.142857142857143,85.45141700404858,0.9075508555385574
WB - Woodbridge,981,5100.0,541357.50254842,3.4246575342465753,26.57084607543323,2.033336796579659
C29 - Westchester,972,1225000.0,1120924.7860082304,704.5569620253165,38.30144032921811,11.268683938007728
86 - Brea,967,810888.0,734715.230196484,509.09090909090907,30.21302998965874,1.4551593308089679
84 - Placentia,957,900000.0,794439.3806060606,551.0534846029174,27.244514106583072,1.0229986606483574
CHT - Chatsworth,955,709000.0,786981.8431937173,417.6247966919818,44.917277486911,1.0264987009197628
C37 - Metropolitan South,953,600000.0,585581.6169989507,433.82371547503067,52.38090241343127,1.010710568761167
92154 - Otay Mesa,947,694000.0,1928450.0696937698,437.902028698664,28.37909186906019,5.223583687197148
VC45 - Mission Oaks,943,650000.0,614738.3876882291,466.6666666666667,33.94803817603393,1.0031052684441095
335 - Cathedral City North,938,475000.0,404441.20149253734,281.4757633824835,58.77825159914712,2.03048793425459
626 - Glendale-Northwest,936,6500.0,627592.082051282,4.1459369817578775,30.983974358974358,1.0152628477362013
635 - La Crescenta/Glendale Montrose & Annex,935,949000.0,832101.7582887701,643.6109964112147,30.70909090909091,1.0123812900927571
631 - Hacienda Heights,932,789000.0,740795.6466738197,478.848903032536,32.61480686695279,1.0386067379186512
287A - Arrowhead Woods,924,615000.0,762853.5378787878,364.1304347826087,90.66125541125541,102.8230633171682
309 - Indio North of East Valley,924,549995.0,561544.9952380953,269.91324921135646,65.8430735930736,2.1016928501841488
PHEL - Phelan,924,330000.0,288318.0725108225,241.09263657957246,84.57792207792208,0.9326722299429182
683 - Claremont,921,858000.0,808809.1476872964,472.2483537158984,36.11074918566775,0.9870092481659987
632 - Highland Park,920,906750.0,821623.4206521739,668.824163969795,35.61086956521739,1.0119832670714382
